word,type,lang,count
"https://t.co/KaRDwSxGdK
",PERSON,en,1
"https://t.co/qMcQBlE5io
",PERSON,en,1
6.Pakistani,CARDINAL,en,1
https://t.co/zq3xhaKmDt,ORG,en,1
https://t.co/cmB4xjbFIy,ORG,en,1
https://t.co/j6XPp1SEAo,PERSON,en,1
"https://t.co/CT2vM1kCBd
Beware of False Knowledge",PERSON,en,1
https://t.co/JJRk1IhkAe,PERSON,en,1
https://t.co/egacTrkhk6,NORP,en,1
https://t.co/IeVIOp9BhA,GPE,en,1
https://t.co/jCm7HKGz0K,PERSON,en,1
Mastung Balochistan,GPE,en,4
Pak Forces#pakagainsthumanities,PERSON,en,2
cruelity.#pak,ORG,en,1
"https://t.co/ASGYwAYkqH
",ORG,en,1
https://t.co/lr1MQ2yyyg,DATE,en,1
"https://t.co/xkhDvfIoJg
Olympic Athletes",PERSON,en,1
‘Cold War,EVENT,en,3
"https://t.co/kv1Wdu1RKh
Threats",PERSON,en,1
"https://t.co/FspnCyBrVQ
Beijing",FAC,en,1
"https://t.co/t7KQlt3wIy
Security",ORG,en,1
"https://t.co/xSwx40bLQX
Opposition",PERSON,en,1
https://t.co/Aou9ZohMTA,CARDINAL,en,1
"https://t.co/XorXXa9Vvw
Remembering",PERSON,en,1
U.S.-China https://t.co/KL1I4BjJux,GPE,en,1
https://t.co/M0vfwoyzX6,ORG,en,1
https://t.co/lfEUk6UmbG,ORG,en,1
"https://t.co/biJPX8YJp0
EU",ORG,en,1
https://t.co/DA2UDp0yAF,ORG,en,1
https://t.co/7eysu2g2En,NORP,en,1
https://t.co/n2kPdY9CyW,PERSON,en,1
https://t.co/hHMuQ9gg0y,GPE,en,1
🇮🇳 🇮,PRODUCT,en,3
Aurora,PERSON,en,3
#BadalataKashmir https://t.co/IGf86lM8TS,MONEY,en,1
🌺,ORG,en,1
https://t.co/dzwJ3Vx6dQ,GPE,en,1
RT @Indraje03996719,ORG,en,2
https://t.co/AvaPwRxD7F,PERSON,en,2
#PakGenocide https://t.co/YT2gkSTEeo,MONEY,en,1
https://t.co/VsVpOA3wAD,PERSON,en,1
"Bonjour @AmbassadeChine 
Vous avez",MISC,fr,1
China https://t.co/1u1tMdiZ59,PER,fr,1
https://t.co/nY0Ro4yalU,PERSON,en,1
https://t.co/BKBlAFlTjU,PERSON,en,1
Qambar Bajwa,PERSON,en,1
#PakTerrorState https://t.co/d42StE9B82,MONEY,en,1
https://t.co/z1Jad2lBvZ,CARDINAL,en,1
MaharajaRanjitSingh,MONEY,en,2
🦄,PERSON,en,1
🐴,ORG,en,4
KashmirSample Tweets,PERSON,en,1
1.October 27,DATE,en,1
⚾,PRODUCT,en,3
12.#pakistanbetrayedbangalis,CARDINAL,en,1
Hamoodur Rehman Commission,ORG,en,1
Gen Yahya Khan,PERSON,en,1
Dec 16 1971,DATE,en,1
Dec 26,DATE,en,1
the Hamdoodur Rehman Commission,ORG,en,1
⚾,CARDINAL,en,2
RT @Abuphotojur,MISC,es,1
@BOLNETWORK @PTI_News,PER,es,1
"🤔😂😂
",PERSON,en,1
Veterans By Army - T Chuntwari Village,ORG,en,1
sino,NORP,en,1
https://t.co/tXTCLCNKQq,ORG,en,1
"February 5, 1997",DATE,en,1
the most unforgettable days,DATE,en,1
"https://t.co/LJp2703kr3
",PERSON,en,1
Naya Pakistan🥱,ORG,en,1
https://t.co/2HkbSM6Ivy,CARDINAL,en,1
"😆😄
",PERSON,en,1
@adgpi @easterncomd @mygovassam @CMOfficeAssam Wonderful,FAC,en,1
@BholaRa80916905 Brothers,ORG,en,1
IUDS,NORP,en,1
https://t.co/Tx8xAPmuv5,ORG,en,1
https://t.co/53Q2cJ2pIK,ORG,en,1
"https://t.co/qMKmyS9jGA
",PERSON,en,1
https://t.co/t0ArHu14RB,GPE,en,1
https://t.co/FgOZqwQcvu,DATE,en,1
"https://t.co/J90Kafy5wO
Chinese",PERSON,en,1
https://t.co/McZMwhtEOa,CARDINAL,en,1
"https://t.co/LJBpXrWj4p
",PERSON,en,1
"https://t.co/XZUiveGPkY
",PERSON,en,1
"https://t.co/s3ApfVVR3i
",PERSON,en,1
https://t.co/COK74unOeA,PERSON,en,1
RT @Maheena29085649,ORG,en,2
Ughur,PERSON,en,1
https://t.co/54sRaeVV4x,PERSON,en,1
Tie,GPE,en,1
machal day,DATE,en,1
netaji,PERSON,en,1
Balochistan Mysterious,ORG,en,1
@anita_chauhan80 @arifaajakia,ORG,en,1
Kashmir the Lost Paradise,LOC,en,1
the Plight of PoK Hindu Refugees.,WORK_OF_ART,en,1
Mohsin Kamal,PERSON,en,1
AJK University,ORG,en,1
220 million,CARDINAL,en,2
Arif ki Bhasha Eps,ORG,en,1
Mahek,ORG,en,2
1000-yr-old,QUANTITY,en,2
#HagiaSophia Church,ORG,en,2
Our Indian Army,ORG,en,3
https://t.co/kneL5eZD71,NORP,en,1
@KaulLakshmi @Aabhas24 @SundayGuardian Being,ORG,en,1
JayHind 🇮🇳🇮🇳🇮,PERSON,en,1
@rohanduaTOI,PRODUCT,en,1
@IndianTrainFan,GPE,en,1
$536 million,MONEY,en,1
IAF Moves Jaguars To Car Nicobar,ORG,en,1
https://t.co/IJowGgyp9M,PERSON,en,2
Asim Salim Bajwa,PERSON,en,2
@Swamy39 &,ORG,en,1
Identit,PRODUCT,en,1
the U.N. Human Rights Council,ORG,en,1
"Ahmadis
-Hosts",PERSON,en,1
HQN,ORG,en,1
"JeM
-Backs",PERSON,en,1
Huma Younas,PERSON,en,1
RT @rightwingchora,ORG,en,1
Triund Top,PERSON,en,1
Dharamshala,GPE,en,2
@swamidipankar,ORG,en,1
@IndianTrainFan,PRODUCT,en,1
"Wow,@BeingSalmanKhan",ORG,en,1
💛An,PERSON,en,1
the Great Son of Mother India,EVENT,en,1
https://t.co/HdzydmFLnH,GPE,en,1
HEROS,WORK_OF_ART,en,1
KargilVijayDivas,GPE,en,1
15 years,DATE,en,4
Skardu-Kargil Road,ORG,en,1
DM,GPE,en,2
RT @bmcbbsr,ORG,en,1
Biju Patnaik International Airport,ORG,en,1
Bhubanesw,ORG,en,1
all day,DATE,en,2
https://t.co/DemTGRPzp2,PERSON,en,1
Pakterrorstate,PRODUCT,en,1
Corrupt Pak Army,ORG,en,1
@BholaRa80916905 Brother,PERSON,en,1
https://t.co/SRBdVdFCiJ,CARDINAL,en,1
https://t.co/lqcOd6w3LT,GPE,en,2
https://t.co/ZcLG2Dxtj4,NORP,en,1
https://t.co/uvXnqj5T7M,ORG,en,1
https://t.co/mtwULHYGIz,ORG,en,1
"https://t.co/yP6e7oiFFf
",PERSON,en,1
"https://t.co/fL9BJwn13m
",PERSON,en,1
https://t.co/bTBwdokcFq,ORG,en,1
"https://t.co/HLG6I6TtKG
Banned",PERSON,en,1
Colom,ORG,en,2
The Beijing Winter Olympics 2022,EVENT,en,6
"https://t.co/hfz3LigvTn
",PERSON,en,1
"https://t.co/Z9jmtozOWn
This year",PERSON,en,1
"https://t.co/czcwhAs6Jt
Brahma Chellaney",PERSON,en,1
"https://t.co/f850QwLEg6
",PERSON,en,1
"https://t.co/fospo8ymDv
UN Human Rights Chief Michelle Bachelet",ORG,en,1
https://t.co/6WFxF785qs,CARDINAL,en,1
#BlackListPakistan https://t.co/TBXl2JnrRZ,MONEY,en,1
https://t.co/qTDujQG2Dy,PERSON,en,1
"https://t.co/qPjXresfXZ
You shall Reap",PERSON,en,1
https://t.co/huVr5TshGT,ORG,en,1
https://t.co/VWyRtEzWn6,NORP,en,1
"https://t.co/n8yv4WucBX
",PERSON,en,1
"https://t.co/WJPCL8Q8Ck
28",PRODUCT,en,1
"https://t.co/dqi23dlqAK
",PERSON,en,1
"https://t.co/UTp5HNhQWa
",PERSON,en,1
https://t.co/KBlC8FZXYm,PERSON,en,1
https://t.co/hyAHVgyLgl,ORG,en,1
fight.#TiananmenandandGalwan https://t.co/9bg9iX7V7Q,PERSON,en,1
https://t.co/GE4YQnjhTQ,PERSON,en,1
https://t.co/8EvoLJ5EHK,GPE,en,1
"https://t.co/Zf3B2M2k0Z
International Women’s Day",ORG,en,1
https://t.co/FrmekoarrD,GPE,en,1
"https://t.co/r5YlHJnvfL
Regular",PERSON,en,1
"https://t.co/9EXLx7YB4o
Asma Shafique",PERSON,en,1
"https://t.co/M4wteYUDJr
Human Rights Congress",ORG,en,1
https://t.co/WcqbNmzyWL,PERSON,en,1
https://t.co/m1rbF8hl2E,GPE,en,1
@AjaySin25735866 You,PERSON,en,1
https://t.co/XgOCwkTSh9,ORG,en,1
RT @Maliha11995244,ORG,en,1
https://t.co/9IPXCViwXp,ORG,en,1
https://t.co/9IPXCViwXp,PERSON,en,1
https://t.co/rhi3USkBII,PERSON,en,1
"https://t.co/pfGPzPyudb

",PERSON,en,1
"https://t.co/Kuf5CsumWY
Chinese Govt",PERSON,en,1
https://t.co/ctQbt5sCJ0,ORG,en,1
"https://t.co/hJ6jdPN2zU
Pakistani Govt",PERSON,en,1
https://t.co/njxvSP9KIE,ORG,en,1
https://t.co/dNVaahkRqv,PERSON,en,1
https://t.co/mRD3Ql5rPV,GPE,en,1
"https://t.co/ywdMkYSrJQ
",PERSON,en,1
https://t.co/evMttyHWxY,ORG,en,1
"https://t.co/Rkt1X0x6ss
Pakistan Army",ORG,en,1
https://t.co/XLZdOUXU43,PERSON,en,1
"https://t.co/1iSowoRe27
",PERSON,en,1
"https://t.co/qXIdG2EYq7
",PERSON,en,1
https://t.co/9wFqDDKJfA,PERSON,en,1
https://t.co/M28uyFIEYF,GPE,en,1
Qadi,ORG,en,1
NationalPollutionControlDay,GPE,en,2
#MahindraSusten #,MONEY,en,1
https://t.co/flWj7djMsv,PERSON,en,1
Jagjit Singh Aurora,PERSON,en,2
information &amp,ORG,en,1
the conspirators &amp,ORG,en,3
Mumbai Attack,ORG,en,3
executed &amp,ORG,en,3
https://t.co/tZKuVQaX8d STORIES,ORG,en,1
the #WorldBank,ORG,en,1
https://t.co/iW4YGreZlJ,ORG,en,1
https://t.co/x8qGgTOdtx,ORG,es,1
https://t.co/ti9rihSH4q,PERSON,en,1
Dear One,WORK_OF_ART,en,1
this Type Of Pandemic Duration,ORG,en,1
Regards,ORG,en,2
🇮🇳INDIA’s,ORG,en,1
OLYMPIC,ORG,en,1
RT @ddsportschannel,ORG,en,1
Golden Boy,PERSON,en,3
https://t.co/Vdd6ygrQf7,PERSON,en,1
https://t.co/SZEHvLbtOI,GPE,en,1
second &amp,ORG,en,1
@aajtak Pm,ORG,en,1
"May 21, 2002",DATE,en,2
metro de Srinagar,LOC,es,1
Metro DPR,LOC,es,1
Informe,ORG,es,1
Metro de Srinagar,LOC,es,1
Cachemira,LOC,es,3
Ahora,MISC,es,1
Delhi-Mumbai,LOC,es,1
Kurbat,GPE,en,1
Bhupendra Yadav,PERSON,en,1
https://t.co/138HnK0z4C,PERSON,en,1
Srinagar,LOC,es,2
El metro de Srinagar,MISC,es,1
Corridor-1,MISC,es,1
Baluchistan National Party’s,ORG,en,1
up to 70%,PERCENT,en,1
RT @ARYNEWSOFFICIAL,ORG,en,1
Wedne,GPE,en,1
https://t.co/P3RIyR3RvH,GPE,en,1
RT @jahanzaibb_,ORG,en,2
73,DATE,en,1
Khamenei,PERSON,en,1
80,DATE,en,2
#BraveDaughterOfSindh https://t.co/2VgwLUXB6I,TIME,en,1
AhmadisAreNotMuslims,MONEY,en,2
#Why_Need_TrueWorship,MONEY,en,1
